workplace_measure,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
N95 mask,3.0,20.0,4,14,0.04
N95 mask,3.0,20.0,4,21,0.04
N95 mask,3.0,20.0,6,1,0.01
N95 mask,3.0,20.0,6,3,0.01
N95 mask,3.0,20.0,6,7,0.02
N95 mask,3.0,20.0,6,14,0.03
N95 mask,3.0,20.0,6,21,0.03
N95 mask,3.0,30.0,2,1,
N95 mask,3.0,30.0,2,3,
N95 mask,3.0,30.0,2,7,
N95 mask,3.0,30.0,2,14,
N95 mask,3.0,30.0,2,21,
N95 mask,3.0,30.0,4,1,0.02
N95 mask,3.0,30.0,4,3,0.02
N95 mask,3.0,30.0,4,7,0.02
N95 mask,3.0,30.0,4,14,0.05
N95 mask,3.0,30.0,4,21,0.05
N95 mask,3.0,30.0,6,1,0.01
N95 mask,3.0,30.0,6,3,0.01
N95 mask,3.0,30.0,6,7,0.01
N95 mask,3.0,30.0,6,14,0.03
N95 mask,3.0,30.0,6,21,0.03
Social distancing,1.0,5.0,2,1,0.2
Social distancing,1.0,5.0,2,3,0.2
Social distancing,1.0,5.0,2,7,0.2
Social distancing,1.0,5.0,2,14,0.35
Social distancing,1.0,5.0,2,21,0.35
Social distancing,1.0,5.0,4,1,0.05
Social distancing,1.0,5.0,4,3,0.1
Social distancing,1.0,5.0,4,7,0.1
Social distancing,1.0,5.0,4,14,0.2
Social distancing,1.0,5.0,4,21,0.17
Social distancing,1.0,5.0,6,1,0.03
Social distancing,1.0,5.0,6,3,0.03
Social distancing,1.0,5.0,6,7,0.07
Social distancing,1.0,5.0,6,14,0.12
Social distancing,1.0,5.0,6,21,0.13
Social distancing,1.0,10.0,2,1,0.2
Social distancing,1.0,10.0,2,3,0.25
Social distancing,1.0,10.0,2,7,0.2
Social distancing,1.0,10.0,2,14,0.45
Social distancing,1.0,10.0,2,21,0.45
Social distancing,1.0,10.0,4,1,0.05
Social distancing,1.0,10.0,4,3,0.07
Social distancing,1.0,10.0,4,7,0.1
Social distancing,1.0,10.0,4,14,0.23
Social distancing,1.0,10.0,4,21,0.2
Social distancing,1.0,10.0,6,1,0.03
Social distancing,1.0,10.0,6,3,0.03
Social distancing,1.0,10.0,6,7,0.08
Social distancing,1.0,10.0,6,14,0.15
Social distancing,1.0,10.0,6,21,0.13
Social distancing,1.0,20.0,2,1,0.31
Social distancing,1.0,20.0,2,3,0.38
Social distancing,1.0,20.0,2,7,0.33
Social distancing,1.0,20.0,2,14,0.5
Social distancing,1.0,20.0,2,21,0.5
Social distancing,1.0,20.0,4,1,0.07
Social distancing,1.0,20.0,4,3,0.12
Social distancing,1.0,20.0,4,7,0.16
Social distancing,1.0,20.0,4,14,0.25
Social distancing,1.0,20.0,4,21,0.25
Social distancing,1.0,20.0,6,1,0.03
Social distancing,1.0,20.0,6,3,0.06
Social distancing,1.0,20.0,6,7,0.11
Social distancing,1.0,20.0,6,14,0.17
Social distancing,1.0,20.0,6,21,0.17
Social distancing,1.0,30.0,2,1,0.42
Social distancing,1.0,30.0,2,3,0.46
Social distancing,1.0,30.0,2,7,0.43
Social distancing,1.0,30.0,2,14,0.5
Social distancing,1.0,30.0,2,21,0.5
Social distancing,1.0,30.0,4,1,0.1
Social distancing,1.0,30.0,4,3,0.21
Social distancing,1.0,30.0,4,7,0.19
Social distancing,1.0,30.0,4,14,0.25
Social distancing,1.0,30.0,4,21,0.25
Social distancing,1.0,30.0,6,1,0.05
Social distancing,1.0,30.0,6,3,0.11
Social distancing,1.0,30.0,6,7,0.14
Social distancing,1.0,30.0,6,14,0.17
Social distancing,1.0,30.0,6,21,0.17
Social distancing,2.0,5.0,2,1,
Social distancing,2.0,5.0,2,3,
Social distancing,2.0,5.0,2,7,
Social distancing,2.0,5.0,2,14,
Social distancing,2.0,5.0,2,21,
Social distancing,2.0,5.0,4,1,0.05
Social distancing,2.0,5.0,4,3,0.1
Social distancing,2.0,5.0,4,7,0.1
Social distancing,2.0,5.0,4,14,0.2
Social distancing,2.0,5.0,4,21,0.17
Social distancing,2.0,5.0,6,1,0.03
Social distancing,2.0,5.0,6,3,0.03
Social distancing,2.0,5.0,6,7,0.05
Social distancing,2.0,5.0,6,14,0.13
Social distancing,2.0,5.0,6,21,0.13
Social distancing,2.0,10.0,2,1,
Social distancing,2.0,10.0,2,3,
Social distancing,2.0,10.0,2,7,
Social distancing,2.0,10.0,2,14,
Social distancing,2.0,10.0,2,21,
Social distancing,2.0,10.0,4,1,0.07
Social distancing,2.0,10.0,4,3,0.07
Social distancing,2.0,10.0,4,7,0.1
Social distancing,2.0,10.0,4,14,0.2
Social distancing,2.0,10.0,4,21,0.23
Social distancing,2.0,10.0,6,1,0.03
Social distancing,2.0,10.0,6,3,0.05
Social distancing,2.0,10.0,6,7,0.07
