strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
4,1,5,1,12,0.10
4,1,10,1,12,0.12
4,1,20,1,12,0.26
4,1,30,1,12,0.44
4,3,5,1,12,0.15
4,3,10,1,12,0.23
4,3,20,1,12,0.50
4,3,30,1,12,0.60
4,7,5,1,12,0.25
4,7,10,1,12,0.33
4,7,20,1,12,0.42
4,7,30,1,12,0.44
4,14,5,1,12,0.25
4,14,10,1,12,0.25
4,14,20,1,12,0.25
4,14,30,1,12,0.25
4,21,5,1,12,0.25
4,21,10,1,12,0.25
4,21,20,1,12,0.25
4,21,30,1,12,0.25
6,1,5,1,12,0.03
6,1,10,1,12,0.05
6,1,20,1,12,0.08
6,1,30,1,12,0.19
6,3,5,1,12,0.07
6,3,10,1,12,0.12
6,3,20,1,12,0.29
6,3,30,1,12,0.41
6,7,5,1,12,0.13
6,7,10,1,12,0.20
6,7,20,1,12,0.29
6,7,30,1,12,0.31
6,14,5,1,12,0.17
6,14,10,1,12,0.17
6,14,20,1,12,0.17
6,14,30,1,12,0.17
6,21,5,1,12,0.17
6,21,10,1,12,0.17
6,21,20,1,12,0.17
6,21,30,1,12,0.17
2,1,5,1,13,0.40
2,1,10,1,13,0.65
2,1,20,1,13,0.93
2,1,30,1,13,0.98
2,3,5,1,13,0.40
2,3,10,1,13,0.70
2,3,20,1,13,0.90
2,3,30,1,13,0.95
2,7,5,1,13,0.55
2,7,10,1,13,0.65
2,7,20,1,13,0.75
2,7,30,1,13,0.75
2,14,5,1,13,0.50
2,14,10,1,13,0.50
2,14,20,1,13,0.50
2,14,30,1,13,0.50
2,21,5,1,13,0.50
2,21,10,1,13,0.50
2,21,20,1,13,0.50
2,21,30,1,13,0.50
4,1,5,1,13,0.10
4,1,10,1,13,0.15
4,1,20,1,13,0.32
4,1,30,1,13,0.53
4,3,5,1,13,0.15
4,3,10,1,13,0.25
4,3,20,1,13,0.55
4,3,30,1,13,0.67
4,7,5,1,13,0.25
4,7,10,1,13,0.33
4,7,20,1,13,0.43
4,7,30,1,13,0.44
4,14,5,1,13,0.25
4,14,10,1,13,0.25
4,14,20,1,13,0.25
4,14,30,1,13,0.25
4,21,5,1,13,0.25
4,21,10,1,13,0.25
4,21,20,1,13,0.25
4,21,30,1,13,0.25
6,1,5,1,13,0.03
6,1,10,1,13,0.05
6,1,20,1,13,0.10
6,1,30,1,13,0.22
6,3,5,1,13,0.07
6,3,10,1,13,0.12
6,3,20,1,13,0.33
6,3,30,1,13,0.46
6,7,5,1,13,0.13
6,7,10,1,13,0.23
6,7,20,1,13,0.30
6,7,30,1,13,0.31
6,14,5,1,13,0.17
6,14,10,1,13,0.17
6,14,20,1,13,0.17
6,14,30,1,13,0.17
6,21,5,1,13,0.17
6,21,10,1,13,0.17
6,21,20,1,13,0.17
6,21,30,1,13,0.17
2,1,5,1,14,0.40
2,1,10,1,14,0.70
2,1,20,1,14,0.95
2,1,30,1,14,1.00
2,3,5,1,14,0.50
2,3,10,1,14,0.75
2,3,20,1,14,0.93
2,3,30,1,14,0.95
2,7,5,1,14,0.60
2,7,10,1,14,0.68
2,7,20,1,14,0.75
2,7,30,1,14,0.75
2,14,5,1,14,0.50
2,14,10,1,14,0.50
2,14,20,1,14,0.50
2,14,30,1,14,0.50
2,21,5,1,14,0.50
2,21,10,1,14,0.50
2,21,20,1,14,0.50
2,21,30,1,14,0.50
4,1,5,1,14,0.10
4,1,10,1,14,0.15
4,1,20,1,14,0.38
4,1,30,1,14,0.59
4,3,5,1,14,0.15
4,3,10,1,14,0.28
4,3,20,1,14,0.59
4,3,30,1,14,0.69
4,7,5,1,14,0.25
4,7,10,1,14,0.35
4,7,20,1,14,0.44
4,7,30,1,14,0.44
4,14,5,1,14,0.25
4,14,10,1,14,0.25
4,14,20,1,14,0.25
4,14,30,1,14,0.25
4,21,5,1,14,0.25
4,21,10,1,14,0.25
4,21,20,1,14,0.25
4,21,30,1,14,0.25
6,1,5,1,14,0.03
6,1,10,1,14,0.05
6,1,20,1,14,0.11
6,1,30,1,14,0.27
6,3,5,1,14,0.10
6,3,10,1,14,0.14
6,3,20,1,14,0.36
6,3,30,1,14,0.49
6,7,5,1,14,0.13
6,7,10,1,14,0.23
6,7,20,1,14,0.30
6,7,30,1,14,0.31
6,14,5,1,14,0.17
