strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected,workplace_measure
6,14,20,3,14,0.09,Gown
6,14,30,1,14,0.14,Gown
6,14,30,2,14,0.14,Gown
6,14,30,3,14,0.14,Gown
6,21,5,1,14,0.07,Gown
6,21,5,2,14,0.07,Gown
6,21,5,3,14,0.07,Gown
6,21,10,1,14,0.07,Gown
6,21,10,2,14,0.05,Gown
6,21,10,3,14,0.05,Gown
6,21,20,1,14,0.1,Gown
6,21,20,2,14,0.1,Gown
6,21,20,3,14,0.1,Gown
6,21,30,1,14,0.14,Gown
6,21,30,2,14,0.14,Gown
6,21,30,3,14,0.14,Gown
2,1,5,1,14,0.1,N95 mask
2,1,5,2,14,,N95 mask
2,1,5,3,14,,N95 mask
2,1,10,1,14,0.05,N95 mask
2,1,10,2,14,,N95 mask
2,1,10,3,14,,N95 mask
2,1,20,1,14,0.03,N95 mask
2,1,20,2,14,,N95 mask
2,1,20,3,14,,N95 mask
2,1,30,1,14,0.03,N95 mask
2,1,30,2,14,,N95 mask
2,1,30,3,14,,N95 mask
2,3,5,1,14,0.1,N95 mask
2,3,5,2,14,,N95 mask
