,strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
750,2,7,20,1,5,0.15
751,2,7,20,2,5,
752,2,7,20,3,5,
753,2,7,30,1,5,0.20
754,2,7,30,2,5,
755,2,7,30,3,5,
756,2,14,5,1,5,0.20
757,2,14,5,2,5,
758,2,14,5,3,5,
759,2,14,10,1,5,0.15
760,2,14,10,2,5,
761,2,14,10,3,5,
762,2,14,20,1,5,0.15
763,2,14,20,2,5,
764,2,14,20,3,5,
765,2,14,30,1,5,0.22
766,2,14,30,2,5,
767,2,14,30,3,5,
768,2,21,5,1,5,0.20
769,2,21,5,2,5,
770,2,21,5,3,5,
771,2,21,10,1,5,0.12
772,2,21,10,2,5,
773,2,21,10,3,5,
774,2,21,20,1,5,0.14
775,2,21,20,2,5,
776,2,21,20,3,5,
777,2,21,30,1,5,0.20
778,2,21,30,2,5,
779,2,21,30,3,5,
780,4,1,5,1,5,0.05
781,4,1,5,2,5,0.05
782,4,1,5,3,5,0.05
783,4,1,10,1,5,0.03
784,4,1,10,2,5,0.03
785,4,1,10,3,5,0.04
786,4,1,20,1,5,0.03
787,4,1,20,2,5,0.03
788,4,1,20,3,5,0.03
789,4,1,30,1,5,0.03
790,4,1,30,2,5,0.03
791,4,1,30,3,5,0.03
792,4,3,5,1,5,0.05
793,4,3,5,2,5,0.05
794,4,3,5,3,5,0.05
795,4,3,10,1,5,0.05
796,4,3,10,2,5,0.05
797,4,3,10,3,5,0.05
798,4,3,20,1,5,0.04
799,4,3,20,2,5,0.04
800,4,3,20,3,5,0.04
801,4,3,30,1,5,0.04
802,4,3,30,2,5,0.04
803,4,3,30,3,5,0.03
804,4,7,5,1,5,0.10
805,4,7,5,2,5,0.10
806,4,7,5,3,5,0.10
807,4,7,10,1,5,0.07
808,4,7,10,2,5,0.07
809,4,7,10,3,5,0.05
810,4,7,20,1,5,0.07
811,4,7,20,2,5,0.07
812,4,7,20,3,5,0.06
813,4,7,30,1,5,0.11
814,4,7,30,2,5,0.12
815,4,7,30,3,5,0.11
816,4,14,5,1,5,0.10
817,4,14,5,2,5,0.05
818,4,14,5,3,5,0.05
819,4,14,10,1,5,0.05
820,4,14,10,2,5,0.06
821,4,14,10,3,5,0.05
822,4,14,20,1,5,0.07
823,4,14,20,2,5,0.07
824,4,14,20,3,5,0.06
825,4,14,30,1,5,0.10
826,4,14,30,2,5,0.08
827,4,14,30,3,5,0.10
828,4,21,5,1,5,0.10
829,4,21,5,2,5,0.05
830,4,21,5,3,5,0.08
831,4,21,10,1,5,0.07
832,4,21,10,2,5,0.05
833,4,21,10,3,5,0.07
834,4,21,20,1,5,0.07
835,4,21,20,2,5,0.07
836,4,21,20,3,5,0.09
837,4,21,30,1,5,0.10
